2026-03-28 19:24:04 | ERROR    | trading_bot | Order failed – API returned error -4120: Order type not supported for this endpoint. Please use the Algo Order API endpoints instead.
2026-03-28 19:32:40 | DEBUG    | trading_bot | Building STOP_MARKET order params symbol=BTCUSDT side=SELL qty=0.01 stopPrice=58000.0
2026-03-28 19:32:40 | INFO     | trading_bot | Placing order: symbol=BTCUSDT side=SELL type=STOP_MARKET qty=0.01 price=N/A
2026-03-28 19:32:40 | DEBUG    | trading_bot | → POST https://testnet.binancefuture.com/fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'STOP_MARKET', 'quantity': 0.01, 'stopPrice': 58000.0, 'workingType': 'MARK_PRICE', 'timestamp': 1774706560985, 'recvWindow': 5000, 'signature': '***'}
2026-03-28 19:32:41 | DEBUG    | trading_bot | ← HTTP 400  body={"code":-4120,"msg":"Order type not supported for this endpoint. Please use the Algo Order API endpoints instead."}
2026-03-28 19:32:41 | ERROR    | trading_bot | API error -4120: Order type not supported for this endpoint. Please use the Algo Order API endpoints instead.
2026-03-28 19:32:41 | ERROR    | trading_bot | Order failed – API returned error -4120: Order type not supported for this endpoint. Please use the Algo Order API endpoints instead.
2026-03-28 21:59:29 | DEBUG    | trading_bot | Building STOP_MARKET order params symbol=BTCUSDT side=SELL qty=0.01 stopPrice=80000.0
2026-03-28 21:59:29 | INFO     | trading_bot | Placing algo order: symbol=BTCUSDT side=SELL type=STOP_MARKET qty=0.01 stopPrice=80000.0
2026-03-28 21:59:29 | DEBUG    | trading_bot | → POST https://testnet.binancefuture.com/fapi/v1/order/algo  params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'STOP_MARKET', 'quantity': 0.01, 'stopPrice': 80000.0, 'workingType': 'MARK_PRICE', 'timeInForce': 'GTC', 'timestamp': 1774715369884, 'recvWindow': 5000, 'signature': '***'}
2026-03-28 21:59:30 | DEBUG    | trading_bot | ← HTTP 404  body={"code":-5000,"msg":"Path /fapi/v1/order/algo, Method POST is invalid"}
2026-03-28 21:59:30 | ERROR    | trading_bot | API error -5000: Path /fapi/v1/order/algo, Method POST is invalid
2026-03-28 21:59:30 | DEBUG    | trading_bot | Algo endpoint failed, retrying on /fapi/v1/order
2026-03-28 21:59:30 | DEBUG    | trading_bot | → POST https://testnet.binancefuture.com/fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'STOP_MARKET', 'quantity': 0.01, 'stopPrice': 80000.0, 'workingType': 'MARK_PRICE', 'timeInForce': 'GTC', 'timestamp': 1774715370111, 'recvWindow': 5000, 'signature': '***'}
2026-03-28 21:59:30 | DEBUG    | trading_bot | ← HTTP 400  body={"code":-1022,"msg":"Signature for this request is not valid."}
2026-03-28 21:59:30 | ERROR    | trading_bot | API error -1022: Signature for this request is not valid.
2026-03-28 21:59:30 | ERROR    | trading_bot | Order failed – API returned error -1022: Signature for this request is not valid.
2026-03-28 22:05:43 | DEBUG    | trading_bot | Building TAKE_PROFIT_MARKET order params symbol=BTCUSDT side=SELL qty=0.01 stopPrice=95000.0
2026-03-28 22:05:43 | INFO     | trading_bot | Placing order: symbol=BTCUSDT side=SELL type=TAKE_PROFIT_MARKET qty=0.01 price=N/A
2026-03-28 22:05:43 | DEBUG    | trading_bot | → POST https://testnet.binancefuture.com/fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'TAKE_PROFIT_MARKET', 'quantity': 0.01, 'stopPrice': 95000.0, 'workingType': 'MARK_PRICE', 'timeInForce': 'GTC', 'timestamp': 1774715743411, 'recvWindow': 5000, 'signature': '***'}
2026-03-28 22:05:43 | DEBUG    | trading_bot | ← HTTP 400  body={"code":-4120,"msg":"Order type not supported for this endpoint. Please use the Algo Order API endpoints instead."}
2026-03-28 22:05:43 | ERROR    | trading_bot | API error -4120: Order type not supported for this endpoint. Please use the Algo Order API endpoints instead.
2026-03-28 22:05:43 | ERROR    | trading_bot | Order failed – API returned error -4120: Order type not supported for this endpoint. Please use the Algo Order API endpoints instead.
2026-03-28 22:08:53 | DEBUG    | trading_bot | Submitting 3 batch LIMIT orders at prices [60000.0, 61000.0, 62000.0]
2026-03-28 22:08:53 | INFO     | trading_bot | Placing batch of 3 orders
2026-03-28 22:08:53 | DEBUG    | trading_bot |   batch[0]: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'LIMIT', 'quantity': '0.01', 'price': '60000.0', 'timeInForce': 'GTC'}
2026-03-28 22:08:53 | DEBUG    | trading_bot |   batch[1]: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'LIMIT', 'quantity': '0.01', 'price': '61000.0', 'timeInForce': 'GTC'}
2026-03-28 22:08:53 | DEBUG    | trading_bot |   batch[2]: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'LIMIT', 'quantity': '0.01', 'price': '62000.0', 'timeInForce': 'GTC'}
2026-03-28 22:08:53 | DEBUG    | trading_bot | → POST https://testnet.binancefuture.com/fapi/v1/batchOrders  params={'batchOrders': '[{"symbol": "BTCUSDT", "side": "BUY", "type": "LIMIT", "quantity": "0.01", "price": "60000.0", "timeInForce": "GTC"}, {"symbol": "BTCUSDT", "side": "BUY", "type": "LIMIT", "quantity": "0.01", "price": "61000.0", "timeInForce": "GTC"}, {"symbol": "BTCUSDT", "side": "BUY", "type": "LIMIT", "quantity": "0.01", "price": "62000.0", "timeInForce": "GTC"}]', 'timestamp': 1774715933640, 'recvWindow': 5000, 'signature': '***'}
2026-03-28 22:08:53 | DEBUG    | trading_bot | ← HTTP 200  body=[{"orderId":13002538386,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"J0uXHthK4bT5vS2f8c40yE","price":"60000.00","avgPrice":"0.00","origQty":"0.010","executedQty":"0.000","cumQty":"0.000","cumQuote":"0.00000","timeInForce":"GTC","type":"LIMIT","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"LIMIT","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"update
2026-03-28 22:08:53 | INFO     | trading_bot | Batch order response received – 3 results
2026-03-28 22:10:06 | DEBUG    | trading_bot | Building MARKET order params symbol=BTCUSDT side=BUY qty=0.01
2026-03-28 22:10:06 | INFO     | trading_bot | Placing order: symbol=BTCUSDT side=BUY type=MARKET qty=0.01 price=N/A
2026-03-28 22:10:06 | DEBUG    | trading_bot | → POST https://testnet.binancefuture.com/fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.01, 'timestamp': 1774716006441, 'recvWindow': 5000, 'signature': '***'}
2026-03-28 22:10:06 | DEBUG    | trading_bot | ← HTTP 200  body={"orderId":13002540506,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"5tlNabR5qU481lV6nav0Uo","price":"0.00","avgPrice":"0.00","origQty":"0.010","executedQty":"0.000","cumQty":"0.000","cumQuote":"0.00000","timeInForce":"GTC","type":"MARKET","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"MARKET","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"updateTim
2026-03-28 22:10:06 | INFO     | trading_bot | Order placed successfully – orderId=13002540506 status=NEW
2026-03-28 22:10:13 | DEBUG    | trading_bot | Building LIMIT order params symbol=BTCUSDT side=SELL qty=0.01 price=90000.0 tif=GTC
2026-03-28 22:10:13 | INFO     | trading_bot | Placing order: symbol=BTCUSDT side=SELL type=LIMIT qty=0.01 price=90000.0
2026-03-28 22:10:13 | DEBUG    | trading_bot | → POST https://testnet.binancefuture.com/fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.01, 'price': 90000.0, 'timeInForce': 'GTC', 'timestamp': 1774716013724, 'recvWindow': 5000, 'signature': '***'}
2026-03-28 22:10:13 | DEBUG    | trading_bot | ← HTTP 200  body={"orderId":13002540829,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"QNuFi5WXyIZLy7jbTxLmKE","price":"90000.00","avgPrice":"0.00","origQty":"0.010","executedQty":"0.000","cumQty":"0.000","cumQuote":"0.00000","timeInForce":"GTC","type":"LIMIT","reduceOnly":false,"closePosition":false,"side":"SELL","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"LIMIT","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"update
2026-03-28 22:10:13 | INFO     | trading_bot | Order placed successfully – orderId=13002540829 status=NEW
2026-03-28 22:10:21 | DEBUG    | trading_bot | Submitting 3 batch LIMIT orders at prices [60000.0, 61000.0, 62000.0]
2026-03-28 22:10:21 | INFO     | trading_bot | Placing batch of 3 orders
2026-03-28 22:10:21 | DEBUG    | trading_bot |   batch[0]: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'LIMIT', 'quantity': '0.01', 'price': '60000.0', 'timeInForce': 'GTC'}
2026-03-28 22:10:21 | DEBUG    | trading_bot |   batch[1]: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'LIMIT', 'quantity': '0.01', 'price': '61000.0', 'timeInForce': 'GTC'}
2026-03-28 22:10:21 | DEBUG    | trading_bot |   batch[2]: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'LIMIT', 'quantity': '0.01', 'price': '62000.0', 'timeInForce': 'GTC'}
2026-03-28 22:10:21 | DEBUG    | trading_bot | → POST https://testnet.binancefuture.com/fapi/v1/batchOrders  params={'batchOrders': '[{"symbol": "BTCUSDT", "side": "BUY", "type": "LIMIT", "quantity": "0.01", "price": "60000.0", "timeInForce": "GTC"}, {"symbol": "BTCUSDT", "side": "BUY", "type": "LIMIT", "quantity": "0.01", "price": "61000.0", "timeInForce": "GTC"}, {"symbol": "BTCUSDT", "side": "BUY", "type": "LIMIT", "quantity": "0.01", "price": "62000.0", "timeInForce": "GTC"}]', 'timestamp': 1774716021797, 'recvWindow': 5000, 'signature': '***'}
2026-03-28 22:10:21 | DEBUG    | trading_bot | ← HTTP 200  body=[{"orderId":13002541083,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"mCFOvsARgcgT1P1vPXNPhE","price":"60000.00","avgPrice":"0.00","origQty":"0.010","executedQty":"0.000","cumQty":"0.000","cumQuote":"0.00000","timeInForce":"GTC","type":"LIMIT","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"LIMIT","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"update
2026-03-28 22:10:21 | INFO     | trading_bot | Batch order response received – 3 results
